# number of EEPs, cols =  1518   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  223         9.0000000000000000E+000         3.1088406308754413E-001         3.1088311953695441E-001         3.5360928500069346E+000         4.9776161852877578E+000        -1.9478735256754631E+000         0.0000000000000000E+000            0.041902           13.825488           12.757967           11.365525           10.321386            9.080815            7.816852            7.162843            6.954860           10.399372           12.046282           11.369086           13.017288           11.581827           10.414612           11.635258            9.356825           10.397458           11.590948           11.634997            9.335462            9.288659           10.417313           11.610312            9.334810            0.000000
  224         9.0000000000000000E+000         3.1165914243847076E-001         3.1165819268280864E-001         3.5362882596677858E+000         4.9771344972924325E+000        -1.9455415034644823E+000         0.0000000000000000E+000            0.041906           13.816595           12.748993           11.356874           10.313472            9.074392            7.811554            7.157485            6.949575           10.391978           12.037554           11.360742           13.008443           11.573055           10.407444           11.626602            9.350207           10.390245           11.582298           11.626353            9.328852            9.282190           10.410101           11.601650            9.328216            0.000000
  225         9.0000000000000000E+000         3.1250845370034008E-001         3.1250749747071888E-001         3.5365021863073358E+000         4.9766392119901637E+000        -1.9430194629749553E+000         0.0000000000000000E+000            0.041915           13.806947           12.739252           11.347483           10.304886            9.067440            7.805832            7.151699            6.943870           10.383962           12.028081           11.351686           12.998846           11.563531           10.399676           11.617204            9.343041           10.382427           11.572908           11.616969            9.321693            9.275187           10.402284           11.592248            9.321074            0.000000
  226         9.0000000000000000E+000         3.1333749637801356E-001         3.1333653445240389E-001         3.5367107097494372E+000         4.9761956327569550E+000        -1.9405986871163576E+000         0.0000000000000000E+000            0.041919           13.797646           12.729849           11.338412           10.296600            9.060754            7.800352            7.146156            6.938405           10.376235           12.018938           11.342942           12.989588           11.554331           10.392192           11.608127            9.336146           10.374893           11.563838           11.607905            9.314806            9.268451           10.394752           11.583166            9.314202            0.000000
  227         9.0000000000000000E+000         3.1416037942545566E-001         3.1415941264320130E-001         3.5369173939496239E+000         4.9757568710634761E+000        -1.9381985775605570E+000         0.0000000000000000E+000            0.041924           13.788428           12.720531           11.329423           10.288388            9.054128            7.794917            7.140661            6.932987           10.368576           12.009877           11.334277           12.980414           11.545214           10.384773           11.599133            9.329312           10.367426           11.554851           11.598924            9.307979            9.261773           10.387286           11.574166            9.307391            0.000000
  228         9.0000000000000000E+000         3.1498845381617724E-001         3.1498748267275362E-001         3.5371250918331585E+000         4.9753403316358522E+000        -1.9358094767362806E+000         0.0000000000000000E+000            0.041925           13.779234           12.711226           11.320443           10.280189            9.047524            7.789515            7.135198            6.927602           10.360933           12.000829           11.325623           12.971257           11.536104           10.377372           11.590146            9.322499           10.359976           11.545871           11.589951            9.301174            9.255118           10.379838           11.565175            9.300602            0.000000
  229         9.0000000000000000E+000         3.1584698443600151E-001         3.1584600939918661E-001         3.5373400914400737E+000         4.9749160180007737E+000        -1.9333413999835998E+000         0.0000000000000000E+000            0.041926           13.769732           12.701609           11.311159           10.271712            9.040703            7.783937            7.129556            6.922040           10.353033           11.991476           11.316676           12.961794           11.526687           10.369723           11.580855            9.315459           10.352277           11.536588           11.580674            9.294142            9.248242           10.372139           11.555880            9.293587            0.000000
  230         9.0000000000000000E+000         3.1671605609614595E-001         3.1671507819121036E-001         3.5375574107277723E+000         4.9744866886259373E+000        -1.9308444928359036E+000         0.0000000000000000E+000            0.041926           13.760130           12.691888           11.301773           10.263142            9.033805            7.778293            7.123849            6.916415           10.345045           11.982021           11.307631           12.952230           11.517166           10.361988           11.571464            9.308340           10.344490           11.527204           11.571297            9.287030            9.241289           10.364355           11.546482            9.286492            0.000000
  231         9.0000000000000000E+000         3.1755793251962000E-001         3.1755695269987905E-001         3.5377676331614856E+000         4.9740966293443121E+000        -1.9284527393998767E+000         0.0000000000000000E+000            0.041924           13.750904           12.682541           11.292745           10.254904            9.027189            7.772894            7.118389            6.911034           10.337372           11.972931           11.298934           12.943038           11.508008           10.354560           11.562429            9.301510           10.337012           11.518177           11.562276            9.280208            9.234618           10.356878           11.537443            9.279685            0.000000
  232         9.0000000000000000E+000         3.1841712131969369E-001         3.1841614030289800E-001         3.5379818202263364E+000         4.9737110679594529E+000        -1.9260257532989296E+000         0.0000000000000000E+000            0.041921           13.741539           12.673046           11.283573           10.246535            9.020475            7.767420            7.112852            6.905577           10.329578           11.963696           11.290099           12.933703           11.498703           10.347017           11.553252            9.294575           10.329419           11.509007           11.553112            9.273281            9.227848           10.349287           11.528260            9.272776            0.000000
  233         9.0000000000000000E+000         3.1933136459804384E-001         3.1933038355290849E-001         3.5382092918977435E+000         4.9732991497227879E+000        -1.9234433591344036E+000         0.0000000000000000E+000            0.041918           13.731583           12.662952           11.273820           10.237636            9.013333            7.761593            7.106959            6.899770           10.321290           11.953877           11.280704           12.923779           11.488809           10.338994           11.543493            9.287199           10.321342           11.499255           11.543368            9.265913            9.220645           10.341211           11.518496            9.265426            0.000000
  234         9.0000000000000000E+000         3.2095822019388281E-001         3.2095723555869243E-001         3.5386010988838343E+000         4.9721687331392612E+000        -1.9185432167765031E+000         0.0000000000000000E+000            0.041899           13.713275           12.644459           11.255958           10.221241            8.999931            7.750424            7.095655            6.888617           10.305930           11.935853           11.263452           12.905553           11.470700           10.324085           11.525620            9.273396           10.306343           11.481397           11.525521            9.252124            9.207136           10.326215           11.500615            9.251666            0.000000
  235         9.0000000000000000E+000         3.2481018615342716E-001         3.2480918406447890E-001         3.5394978991711130E+000         4.9682423034823433E+000        -1.9058818412804412E+000         0.0000000000000000E+000            0.041815           13.667719           12.598613           11.211681           10.180321            8.965742            7.721234            7.066086            6.859402           10.267317           11.891062           11.220557           12.860245           11.425854           10.286483           11.481328            9.238293           10.268538           11.437138           11.481286            9.217052            9.172694           10.288416           11.456303            9.216664            0.000000
  236         9.0000000000000000E+000         3.2893821211152446E-001         3.2893719113598319E-001         3.5404788841475070E+000         4.9649752314029341E+000        -1.8931741591468458E+000         0.0000000000000000E+000            0.041774           13.620919           12.551303           11.165929           10.138243            8.931153            7.692196            7.036671            6.830371           10.227812           11.844878           11.176336           12.813616           11.379481           10.248102           11.435556            9.202680           10.229930           11.391401           11.435579            9.181475            9.137816           10.249816           11.410509            9.181163            0.000000
  237         9.0000000000000000E+000         3.3709642679157414E-001         3.3709536417914204E-001         3.5424121704063616E+000         4.9612512578661878E+000        -1.8710975910805159E+000         0.0000000000000000E+000            0.041748           13.536511           12.465389           11.082645           10.062236            8.870275            7.642499            6.986346            6.780798           10.157013           11.761086           11.096140           12.729303           11.294979           10.179577           11.352236            9.139710           10.160947           11.308146           11.352390            9.118577            9.076328           10.180848           11.327142            9.118420            0.000000
  238         9.0000000000000000E+000         3.4441000879905959E-001         3.4440890860728834E-001         3.5438343118055164E+000         4.9496797507939654E+000        -1.8445212446170349E+000         0.0000000000000000E+000            0.041247           13.448318           12.376845           10.996792            9.981762            8.800250            7.580040            6.922902            6.717983           10.080036           11.673971           11.012497           12.641488           11.208182           10.104155           11.266385            9.068198           10.085213           11.222356           11.266636            9.047111            9.005830           10.105124           11.241265            9.047064            0.000000
  239         9.0000000000000000E+000         3.5014221622779529E-001         3.5014108559869728E-001         3.5448539193536779E+000         4.9373385259038196E+000        -1.8208902994999019E+000         0.0000000000000000E+000            0.040656           13.373735           12.302225           10.924367            9.913193            8.738892            7.523804            6.865681            6.661251           10.013834           11.600294           10.941628           12.567224           11.135063           10.039016           11.193979            9.005790           10.019861           11.149997           11.194298            8.984732            8.944116           10.039780           11.168844            8.984763            0.000000
  240         9.0000000000000000E+000         3.5495810585742105E-001         3.5495695062249533E-001         3.5457882496770714E+000         4.9322870208241643E+000        -1.8062095053352354E+000         0.0000000000000000E+000            0.040416           13.323395           12.251077           10.874516            9.866824            8.699746            7.489824            6.831143            6.627101            9.969894           11.549994           10.893246           12.516827           11.084604            9.996144           11.144129            8.965585            9.976777           11.100181           11.144514            8.944560            8.904605            9.996704           11.118973            8.944668            0.000000
  241         9.0000000000000000E+000         3.5960889768442167E-001         3.5960771825668747E-001         3.5466921765381119E+000         4.9276776310644932E+000        -1.7922944278031809E+000         0.0000000000000000E+000            0.040175           13.275686           12.202438           10.827019            9.822644            8.662622            7.457697            6.798481            6.594800            9.928080           11.502141           10.847149           12.468978           11.036524            9.955365           11.096633            8.927405            9.935793           11.052718           11.097086            8.906412            8.867097            9.955728           11.071456            8.906596            0.000000
  242         9.0000000000000000E+000         3.6375646238867065E-001         3.6375526134087327E-001         3.5475070037422238E+000         4.9247441061832262E+000        -1.7811532130952541E+000         0.0000000000000000E+000            0.040058           13.236410           12.162144           10.787591            9.786161            8.632625            7.432274            6.772644            6.569271            9.893772           11.462536           10.808971           12.429617           10.996574            9.922005           11.057202            8.896424            9.902246           11.013316           11.057718            8.875459            8.836728            9.922188           11.032004            8.875714            0.000000
  243         9.0000000000000000E+000         3.6765262210824468E-001         3.6765140077420289E-001         3.5482702330481612E+000         4.9221171982143241E+000        -1.7708372691434509E+000         0.0000000000000000E+000            0.039948           13.200087           12.124789           10.750988            9.752280            8.604853            7.408777            6.748761            6.545670            9.861932           11.425804           10.773524           12.393187           10.959484            9.891051           11.020597            8.867710            9.871120           10.976737           11.021172            8.846772            8.808587            9.891068           10.995378            8.847095            0.000000
  244         9.0000000000000000E+000         3.7160563690742138E-001         3.7160439480813612E-001         3.5490356575051312E+000         4.9194127071239375E+000        -1.7604182634461509E+000         0.0000000000000000E+000            0.039849           13.163627           12.087242           10.714159            9.718147            8.576854            7.385040            6.724624            6.521811            9.829839           11.388864           10.737836           12.356583           10.922168            9.859842           10.983767            8.838751            9.839741           10.939934           10.984402            8.817840            8.780200            9.859694           10.958529            8.818231            0.000000
  245         9.0000000000000000E+000         3.7588574818363757E-001         3.7588448313647554E-001         3.5498543626097603E+000         4.9164309172738712E+000        -1.7492044929754558E+000         0.0000000000000000E+000            0.039770           13.124613           12.047014           10.674669            9.681501            8.546774            7.359488            6.698628            6.496113            9.795366           11.349265           10.699545           12.317380           10.882156            9.826311           10.944275            8.807629            9.806028           10.900471           10.944976            8.786746            8.749685            9.825989           10.919016            8.787211            0.000000
  246         9.0000000000000000E+000         3.8010134815672397E-001         3.8010006037334693E-001         3.5506597424088446E+000         4.9135423820489992E+000        -1.7382150430363674E+000         0.0000000000000000E+000            0.039681           13.086502           12.007635           10.635965            9.645563            8.517320            7.334473            6.673169            6.470943            9.761565           11.310486           10.662004           12.279037           10.842939            9.793433           10.905571            8.777130            9.772974           10.861794           10.906336            8.756275            8.719784            9.792941           10.880290            8.756815            0.000000
  247         9.0000000000000000E+000         3.8792814012728294E-001         3.8792680797359153E-001         3.5521478704146245E+000         4.9078849907349671E+000        -1.7177757475697053E+000         0.0000000000000000E+000            0.039552           13.016148           11.934811           10.564317            9.578933            8.462674            7.287945            6.625767            6.424081            9.698857           11.238725           10.592453           12.208160           10.770344            9.732419           10.833922            8.720517            9.711638           10.790197           10.834809            8.699714            8.664263            9.731618           10.808601            8.700393            0.000000
  248         9.0000000000000000E+000         4.0751182601926778E-001         4.0751037188405947E-001         3.5558697859025417E+000         4.8924701343222381E+000        -1.6664556573557865E+000         0.0000000000000000E+000            0.039248           12.841743           11.753519           10.385559            9.412292            8.326068            7.171223            6.506554            6.306290            9.541901           11.059904           10.418701           12.031969           10.589214            9.579633           10.655172            8.578793            9.558076           10.611578           10.656374            8.558115            8.525220            9.578086           10.629752            8.559154            0.000000
